# navg: 167
# mode: data
# columns: [locked, adc]
03E7FC18 0109F9BF
03E7FC18 0109FBC1
03E7FC18 0109FC1E
03E7FC18 0109FCA4
03E7FC18 0109FDD7
03E7FC18 0109FF40
03E7FC18 0109FFB7
03E7FC18 0109FCA1
03E7FC18 0109FB3F
03E7FC18 0109F64B
03E7FC18 0109DFE8
03E7FC18 0109BDAF
03E7FC18 01099A0B
03E7FC18 010968FC
03E7FC18 01095C70
03E7FC18 01096BF8
03E7FC18 010980F0
03E7FC18 01098E0D
03E7FC18 0109A53D
03E7FC18 0109B6B8
03E7FC18 0109BDDD
03E7FC18 0109C83B
03E7FC18 0109CBC3
03E7FC18 0109BC54
03E7FC18 0109B583
03E7FC18 0109BCDF
03E7FC18 0109D017
03E7FC18 0109CAD2
03E7FC18 0109D49D
03E7FC18 0109DA10
03E7FC18 0109F30C
03E7FC18 0109FE43
03E7FC18 010A0C70
03E7FC18 010A05BC
03E7FC18 0109F033
03E7FC18 0109E4F2
03E7FC18 0109E053
03E7FC18 0109DB15
03E7FC18 0109EFD3
03E7FC18 0109FD71
03E7FC18 010A0196
03E7FC18 0109FDE1
03E7FC18 0109FC9F
03E7FC18 0109F88F
03E7FC18 0109F9F6
03E7FC18 0109FDD1
03E7FC18 010A07E3
03E7FC18 010A0E52
03E7FC18 010A134D
03E7FC18 010A1963
03E7FC18 010A19F4
03E7FC18 010A19F5
03E7FC18 010A1A26
03E7FC18 010A1A23
03E7FC18 010A196F
03E7FC18 010A1A10
03E7FC18 010A1B2A
03E7FC18 010A1CF6
03E7FC18 010A1C71
03E7FC18 010A1DB4
03E7FC18 010A1E06
03E7FC18 010A1E8E
03E7FC18 010A1D7D
03E7FC18 010A1CD8
03E7FC18 010A1B5A
03E7FC18 010A1ACC
03E7FC18 010A1A48
03E7FC18 010A199E
03E7FC18 010A19AB
03E7FC18 010A1B55
03E7FC18 010A1D15
03E7FC18 010A1FF4
03E7FC18 010A1F58
03E7FC18 010A1AE7
03E7FC18 010A1962
03E7FC18 010A1791
03E7FC18 010A13E7
03E7FC18 010A11BF
03E7FC18 010A100D
03E7FC18 010A0FC1
03E7FC18 010A0E6F
03E7FC18 010A0DC4
03E7FC18 010A0E25
03E7FC18 010A0D2A
03E7FC18 010A0E71
03E7FC18 010A1046
03E7FC18 010A1047
03E7FC18 010A116E
03E7FC18 010A128E
03E7FC18 010A1390
03E7FC18 010A1450
03E7FC18 010A1375
03E7FC18 010A12D9
03E7FC18 010A1265
03E7FC18 010A102E
03E7FC18 010A0DDD
03E7FC18 010A0B25
03E7FC18 010A07B0
03E7FC18 010A05DD
03E7FC18 010A0396
03E7FC18 0109FFE3
03E7FC18 0109FD42
